,label,value,phylum
Actinomyces_graevenitzii,Actinomyces_graevenitzii,0,Actinobacteria
Adlercreutzia_equolifaciens,Adlercreutzia_equolifaciens,0,Actinobacteria
Akkermansia_muciniphila,Akkermansia_muciniphila,0,Verrucomicrobia
Alistipes_finegoldii,Alistipes_finegoldii,0,Bacteroidetes
Alistipes_indistinctus,Alistipes_indistinctus,1,Bacteroidetes
Alistipes_onderdonkii,Alistipes_onderdonkii,0,Bacteroidetes
Alistipes_putredinis,Alistipes_putredinis,2,Bacteroidetes
Alistipes_senegalensis,Alistipes_senegalensis,0,Bacteroidetes
Alistipes_shahii,Alistipes_shahii,1,Bacteroidetes
Anaerostipes_hadrus,Anaerostipes_hadrus,3,Firmicutes
Anaerotruncus_colihominis,Anaerotruncus_colihominis,5,Firmicutes
Bacteroidales_bacterium_ph8,Bacteroidales_bacterium_ph8,1,Bacteroidetes
Bacteroides_caccae,Bacteroides_caccae,1,Bacteroidetes
Bacteroides_cellulosilyticus,Bacteroides_cellulosilyticus,0,Bacteroidetes
Bacteroides_clarus,Bacteroides_clarus,0,Bacteroidetes
Bacteroides_coprocola,Bacteroides_coprocola,1,Bacteroidetes
Bacteroides_dorei,Bacteroides_dorei,1,Bacteroidetes
Bacteroides_eggerthii,Bacteroides_eggerthii,1,Bacteroidetes
Bacteroides_faecis,Bacteroides_faecis,0,Bacteroidetes
Bacteroides_finegoldii,Bacteroides_finegoldii,7,Bacteroidetes
Bacteroides_fragilis,Bacteroides_fragilis,1,Bacteroidetes
Bacteroides_intestinalis,Bacteroides_intestinalis,0,Bacteroidetes
Bacteroides_massiliensis,Bacteroides_massiliensis,0,Bacteroidetes
Bacteroides_nordii,Bacteroides_nordii,2,Bacteroidetes
Bacteroides_oleiciplenus,Bacteroides_oleiciplenus,6,Bacteroidetes
Bacteroides_ovatus,Bacteroides_ovatus,24,Bacteroidetes
Bacteroides_plebeius,Bacteroides_plebeius,0,Bacteroidetes
Bacteroides_salyersiae,Bacteroides_salyersiae,1,Bacteroidetes
Bacteroides_stercoris,Bacteroides_stercoris,0,Bacteroidetes
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron,5,Bacteroidetes
Bacteroides_uniformis,Bacteroides_uniformis,2,Bacteroidetes
Bacteroides_vulgatus,Bacteroides_vulgatus,1,Bacteroidetes
Bacteroides_xylanisolvens,Bacteroides_xylanisolvens,0,Bacteroidetes
Barnesiella_intestinihominis,Barnesiella_intestinihominis,0,Bacteroidetes
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1,Actinobacteria
Bifidobacterium_longum,Bifidobacterium_longum,0,Actinobacteria
Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,0,Actinobacteria
Bilophila_wadsworthia,Bilophila_wadsworthia,1,Proteobacteria
Burkholderiales_bacterium_1_1_47,Burkholderiales_bacterium_1_1_47,0,Proteobacteria
Butyricimonas_synergistica,Butyricimonas_synergistica,5,Bacteroidetes
candidate_division_TM7_single_cell_isolate_TM7c,candidate_division_TM7_single_cell_isolate_TM7c,2,Candidatus_Saccharibacteria
Citrobacter_freundii,Citrobacter_freundii,4,Proteobacteria
Clostridiaceae_bacterium_JC118,Clostridiaceae_bacterium_JC118,8,Firmicutes
Clostridiales_bacterium_1_7_47FAA,Clostridiales_bacterium_1_7_47FAA,6,Firmicutes
Clostridium_asparagiforme,Clostridium_asparagiforme,2,Firmicutes
Clostridium_bartlettii,Clostridium_bartlettii,0,Firmicutes
Clostridium_bolteae,Clostridium_bolteae,3,Firmicutes
Clostridium_citroniae,Clostridium_citroniae,5,Firmicutes
Clostridium_clostridioforme,Clostridium_clostridioforme,7,Firmicutes
Clostridium_hathewayi,Clostridium_hathewayi,3,Firmicutes
Clostridium_innocuum,Clostridium_innocuum,3,Firmicutes
Clostridium_leptum,Clostridium_leptum,1,Firmicutes
Clostridium_nexile,Clostridium_nexile,1,Firmicutes
Clostridium_ramosum,Clostridium_ramosum,2,Firmicutes
Clostridium_symbiosum,Clostridium_symbiosum,1,Firmicutes
Collinsella_aerofaciens,Collinsella_aerofaciens,0,Actinobacteria
Coprobacter_fastidiosus,Coprobacter_fastidiosus,0,Bacteroidetes
Coprococcus_catus,Coprococcus_catus,0,Firmicutes
Coprococcus_comes,Coprococcus_comes,0,Firmicutes
Desulfovibrio_desulfuricans,Desulfovibrio_desulfuricans,1,Proteobacteria
Dialister_invisus,Dialister_invisus,1,Firmicutes
Dorea_formicigenerans,Dorea_formicigenerans,4,Firmicutes
Dorea_longicatena,Dorea_longicatena,0,Firmicutes
Eggerthella_lenta,Eggerthella_lenta,0,Actinobacteria
Enterobacter_cloacae,Enterobacter_cloacae,4,Proteobacteria
Erysipelotrichaceae_bacterium_2_2_44A,Erysipelotrichaceae_bacterium_2_2_44A,4,Firmicutes
Erysipelotrichaceae_bacterium_21_3,Erysipelotrichaceae_bacterium_21_3,1,Firmicutes
Erysipelotrichaceae_bacterium_6_1_45,Erysipelotrichaceae_bacterium_6_1_45,8,Firmicutes
Escherichia_coli,Escherichia_coli,0,Proteobacteria
Eubacterium_biforme,Eubacterium_biforme,0,Firmicutes
Eubacterium_eligens,Eubacterium_eligens,1,Firmicutes
Eubacterium_hallii,Eubacterium_hallii,0,Firmicutes
Eubacterium_ramulus,Eubacterium_ramulus,2,Firmicutes
Eubacterium_rectale,Eubacterium_rectale,1,Firmicutes
Eubacterium_siraeum,Eubacterium_siraeum,0,Firmicutes
Eubacterium_ventriosum,Eubacterium_ventriosum,1,Firmicutes
Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii,2,Firmicutes
Flavonifractor_plautii,Flavonifractor_plautii,6,Firmicutes
Gemella_sanguinis,Gemella_sanguinis,0,Firmicutes
Gordonibacter_pamelaeae,Gordonibacter_pamelaeae,3,Actinobacteria
Granulicatella_adiacens,Granulicatella_adiacens,0,Firmicutes
Haemophilus_parainfluenzae,Haemophilus_parainfluenzae,0,Proteobacteria
Holdemania_filiformis,Holdemania_filiformis,14,Firmicutes
Klebsiella_pneumoniae,Klebsiella_pneumoniae,1,Proteobacteria
Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_1_1_57FAA,3,Firmicutes
Lachnospiraceae_bacterium_1_4_56FAA,Lachnospiraceae_bacterium_1_4_56FAA,3,Firmicutes
Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_2_1_58FAA,0,Firmicutes
Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_46FAA,4,Firmicutes
Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_3_1_57FAA_CT1,3,Firmicutes
Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_5_1_63FAA,2,Firmicutes
Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_7_1_58FAA,1,Firmicutes
Lachnospiraceae_bacterium_8_1_57FAA,Lachnospiraceae_bacterium_8_1_57FAA,0,Firmicutes
